lambani,hindi
तू आज भर्ती आच दिस रिची,तुम आज बहुत अच्छे लग रहे
मा दूध लेन जारोचू ,मैं दूध लेने जा रहा
रात दौड़ सोनू ,रात को जल्दी सोना
चप्पल गालों बाहर,चप्पल पहन लो बाहर
दरवाज़ा बंद कर,दरवाज़ा बंद कर दो
फर्श भर्ती गंदा च,फर्श बहुत गंदा है
अभ दौड़ उठनू,अभी जल्दी उठना पड़ेगा
कूण आयेछ बाहर?,कौन आया है बाहर?
बिल्ली दूध पी ली,बिल्ली ने दूध पी लिया
लता तह करकर मेल,कपड़े तह करके रखो
साबुन कत मेल मालेचो ,साबुन कहाँ रखा है?
म लट्ट धो रोचू ,मैं बाल धो रहा हूँ
पानी भर्ती ठंड च,पानी बहुत ठंडा है
कंघी कत मेल मालेचो ,कंघी कहाँ रखी है?
नाखून काटनू आज,नाखून काटने हैं आज
आईना साफ वेट्टी कोनी,आईना साफ़ नहीं है
तोन काय खानू वेरी च,तुम्हें क्या खाना है?
मा रोटी कर रिचू ,मैं रोटी बना रही हूँ
सब्जी अभ वि कोंति,सब्ज़ी अभी नहीं बनी
चा न पानी मेल,चाय के लिए पानी रखो
दूध उबल गी ,दूध उबल गया है
बर्तन धो एर वेगी काय,बर्तन धो दिए क्या?
गैस ऑन कर,गैस ऑन कर दो
शक्कर कम घाल चाय म ,चीनी कम डालना चाय में
नमक जापा वे गीच,नमक ज़्यादा हो गया
किचन माय अंधेरा वेजीच ,किचन में अंधेरा है
पानी र पाइप लीक वे मालीच ,पानी का पाइप लीक है
भार भर्ती तेज़ धूप च,बाहर बहुत तेज़ धूप है
लत्ता सूख गीच,कपड़े सूख गए हैं
म भार टहलने जाँचूं ,मैं बाहर टहलने जाऊँगा
चाचबर पार्क म रम रेच ,बच्चे पार्क में खेल रहे
पापा काम पर गेच ,पिता जी काम पर गए
या पूजा कर रीच,माँ पूजा कर रही हैं
दादी दवा ले रीच,दादी दवा ले रही थीं
दादा अखबार उद्रोच,दादा अख़बार पढ़ रहे थे
मौसी घर अमलीच,मौसी घर आई हुई हैं
भाई बाजार गोच ,भाई बाज़ार गया है
बहन स्कूल गीच,बहन स्कूल चली गई
नानी स्टोरी सुनारीच,नानी ने कहानी सुनाई
काका भर्ती मजेदार बात कार्रोच,काका बहुत मज़ेदार बातें करते
चाचा खेत देखें न गोच ,चाचा खेत देखने गए
चाची खाना कारीच ,चाची खाना बना रही थीं
पूपी सो रीच ,फूफा जी सो रहे हैं
हम मेला घूमें न गेते,हम मेला घूमने गए
नदी पास बैठे थे,नदी के पास बैठे थे
पेडर हेट छाया वेत्ता,पेड़ के नीचे छाया थी
तड़को मा बाहर मत जो,धूप में बाहर मत जाओ
बारिश माय भीजगे सारी,बारिश में भीग गए सब
कुआं सूख गीच,कुआँ सूख गया है
तालाब भर गीच अब ,तालाब भर गया है अब
करेंट गीच अजेक वोन,बिजली चली गई फिर से
पंखा बंद वे गीच,पंखा बंद हो गया
बल्ब फ्यूज़ वे गीच ,बल्ब फ्यूज़ हो गया है
इनवर्टर चालू वेरी कोंती ,इनवर्टर चालू नहीं हो रहा
मोबाइल माय चार्ज चेनी,मोबाइल में चार्ज नहीं है
नेटवर्क मलारी कोंती ,नेटवर्क नहीं आ रहा है
फोनेर बैटरी लो च,फोन की बैटरी लो है
लैपटॉप ऑपरेट वे रीच ,लैपटॉप अपडेट हो रहा है
कंप्यूटर हैंग वे गीच,कंप्यूटर हैंग हो गया
टीवी बंद कसेन च?,टीवी बंद क्यों है?
रिमोट कत मेल मालेचो?,रिमोट कहाँ रखा है?
खेल शुरू वे गीच,खेल शुरू हो गया है
क्रिकेट मैच आज च काय?,क्रिकेट मैच आज है क्या?
गेंद गामा गीच पार्क माय,गेंद खो गई पार्क में
बॉल गटर माय दर्गी ,बॉल गटर में चली गई
बैट नवों लेनु ,बैट नया लेना है
मा फुटबॉल राममूचु सांझ ,मैं फुटबॉल खेलूंगा शाम को
गोल वेगीच टीम से,गोल हुआ टीम ने
सीटी बजा दी रेफरी,सीटी बजा दी रेफ़री ने
खिलाड़ी गोल कीदे,खिलाड़ी ने गोल किया
टीम जीत गी मैच,टीम जीत गई मैच
हार माननुनि,हार माननी नहीं चाहिए
मा जीतनू ,मैं जीतना चाहता हूँ
कोशिश जरूरी रेणु,कोशिश ज़रूरी होती है
अवसरीर फायदा उठानू ,अवसर का फायदा उठाओ
कड़ी कष्ट करनू,कड़ी मेहनत करना पड़ेगा
कन्नै भी सीखते रेणु,हमेशा सीखते रहना चाहिए
सफलता निदान मलच ,सफलता धीरे-धीरे मिलती
दाढ़ी काय तार नावों सीखो,हर दिन कुछ नया सीखो
उदेर माय मन लगानू ,पढ़ाई में मन लगाओ
ओदतो ज्ञान मलच,पढ़ने से ज्ञान बढ़ता
अध्यापक सवाल पूछा,अध्यापक ने सवाल पूछा
मन उत्तर मालम चेनी,मैं उत्तर नहीं जानता
आज गणित टेस्ट च,आज गणित का टेस्ट है
अभ्यास करो दाढ़ी घरे म,अभ्यास करो रोज़ाना घर पर
निबंध लख अपनेर गाँव पर,निबंध लिखो अपने गाँव पर
चित्र बनाओ स्वतंत्रता दाढ़ पर,चित्र बनाओ स्वतंत्रता दिवस पर
राष्ट्रगान से बलन गाया ,राष्ट्रगान सबने गाया मिलकर
पाठशाला समय पर पहुंचनू ,पाठशाला समय पर पहुँचना
लाइब्रेरी बुक लौटाणु ,लाइब्रेरी से किताबें लौटाओ
पढ़ाई म हेल्प कर,पढ़ाई में मदद करो
कक्षा म ध्यान से सुनो,कक्षा में ध्यान से सुनो
,पेन गिर गया नीचे
,कॉपी खो गई मेरी
,रबड़ और पेंसिल लाओ
,स्कूल की घंटी बज गई
,संगीत सुनना अच्छा लगता
,मुझे नृत्य पसंद है
,वह चित्र बहुत सुंदर है
,जल्दी से तैयार हो जाओ
,मैंने अलार्म बंद किया
,दूध गिर गया फ़र्श पर
,चाय में चीनी डालो
,रसोई में गैस नहीं
,सब्ज़ी में मसाला डालो
,टिफिन बॉक्स धोना है
,आज लंच बहुत अच्छा था
,ऑफिस की मीटिंग है
,बॉस ने बुलाया है
,ईमेल भेज दो तुरंत
,लैपटॉप का चार्जर लाओ
,प्रेजेंटेशन अभी बाकी है
,समय पर पहुँचना ज़रूरी है
,मीटिंग लंबी चल रही है
,छुट्टी कब मिलेगी बताओ
,मुझे आराम करने दो
,थकावट महसूस हो रही है
,कुर्सी आरामदायक नहीं है
,मेज़ पर धूल है
,पर्दे बदलने होंगे आज
,दीवार का रंग हल्का
,बालकनी में पौधे लगाओ
,फूल खिले हैं आज
,माली आया था सुबह
,गमला टूट गया अचानक
,पानी छत से टपक रहा
,पाइप से पानी आ रहा
,बाल्टी भर गई पानी से
,कपड़े इस्त्री कर दिए क्या?
,लोहे की सलाखें जंग खाईं
,झाड़ू लगाना मत भूलो
,पोंछा लगाया नहीं अभी
,कूड़ेदान भरा पड़ा है
,छत पर कबूतर बैठे हैं
,खिड़की से हवा आ रही
,दरवाज़ा ज़ोर से मत बंद करो
,दीया जलाओ मंदिर में
,भगवान की आरती गाओ
,पूजा की थाली कहाँ?
,अगरबत्ती जल रही है अब
,घंटी बजाओ धीरे से
,मंदिर बहुत शांत जगह है
,तुलसी को जल दो
,कथा शुरू होने वाली है
,मैं शिव मंदिर गया
,गुरुद्वारा में सेवा की
,मस्जिद की अज़ान आई
,चर्च में मोमबत्ती जलाई
,प्रार्थना सबके लिए करो
,मुझे सैर पर जाना है
,जूते पहन लो जल्दी
,गेट बंद कर दिया
,पार्किंग में जगह नहीं है
,साइकिल पंक्चर हो गई
,गाड़ी स्टार्ट नहीं हो रही
,पेट्रोल ख़त्म हो गया है
,ट्रैफिक बहुत ज़्यादा है आज
,लाल बत्ती पर रुको
,हॉर्न मत बजाओ ज़्यादा
,हेलमेट पहनना ज़रूरी है
,सड़क पर खड्डा है
,बस अभी आई नहीं
,ट्रेन की आवाज़ आ रही
,टिकट कहाँ रखा तुमने?
,स्टेशन दूर नहीं है यहाँ
,रेलगाड़ी छूट गई हमारी
,चायवाला आया स्टेशन पर
,प्यास लगी है मुझे
,पानी की बोतल दो
,बिस्किट खाओ भूख लगे
,स्नैक्स ले आना रास्ते से
,मिठाई बहुत स्वादिष्ट लगी
,अचार बहुत खट्टा था
,दही जम गया ठीक से
,लड्डू बाँटो सभी को
,हलवा गरम गरम खाओ
,रोटी जल गई थोड़ी
,सब्ज़ी में मिर्च ज़्यादा
,भिंडी साफ़ नहीं थी
,केला बहुत पका हुआ
,आम मीठा और रसदार
,अंगूर खट्टे थे आज
,खरबूजा ठंडा लग रहा
,टिफिन स्कूल में भूल गया
,पेंसिल उठाओ ज़मीन से
,बोर्ड पर लिखो उत्तर
,अध्यापक ने तारीफ़ की
,रिपोर्ट कार्ड मिल गया
,छुट्टी का दिन है कल
,किताब गुम हो गई
,लाइब्रेरी से लेनी पड़ेगी
,गणना ठीक से करो
,विज्ञान की प्रयोगशाला जाओ
,भूगोल का नक्शा देखो
,चित्रकारी में पुरस्कार मिला
,विद्यालय में झंडा फहराया
,खेल प्रतियोगिता शुरू हो गई
,भाषण बहुत अच्छा दिया
,नाटक में भूमिका निभाई
lambani,hindi
बाप,पिता
या,माता
भाई,भाई
बाई,बहन
दादा,दादा
दादी,दादी
नाना,नाना
नानी,नानी
बेटा,बेटा
बेटी,बेटी
खुशी,खुशी
आछ,अच्छा
रीस,गुस्सा
लकड़ी,लकड़ी
कुंडा,लड़का
भूख,भूख
आंख,आंख
कान,कान
नाक,नाक
मुंडो,मुंह
हाथ,हाथ
टांग,पैर
पानी,पानी
बाल,बाल
पेट,पेट
कुंडी,लड़की
कोर,आदमी
कोरी,औरत
विया,शादी
खाणो,खाना
जामाण,छास
भिया,भैया
बाई,बहन
फुपु,बुआ
धणी,पती
कुकड़ी,मुर्गी
किड़ी,चींटी
लड़ाई,झगड़ा
भोजाई,भाबि
गावड़ी,गाय
सिब्बी,बिल्ली
तड़को,धूप
रात,रात
झाड़,पेड़
बाटी,रोटी
धान,चावल
पीसा,पैसा
घरयाणो,परिवार
तांगड़ी,बारात
तेल ,तेल 
झूला,झूला 
छचाबर,बच्चे
परबाथी,सुबह
काका,चाचा
काकी,चाची
हमार,हमारा
मूँडो,चेहरा
काम,काम
फूल,फूल
बंगाड़ी,चूड़िया
कड़,कमर
वाते,बात
उकळी,सिलबटा
चोर,चोर
ख़्हणू,खाना
पीणू,पीना
सोणू,सोना
सांभल,सुन
बेस,बैठ
धास,दौड़
नूण,नमक
केला,केला
सक्कर,शक्कर
दाल,दाल
कुत्रा,कुत्ता
बकरी,बकरी
माछली,मछली
ऊंचों,ऊपर
हेट,नीचे
दाएं,दाएं
बाएं,बाएं
मुंडाग,सामने
आज,आज
सवार,कल
परबाति,सुबह
रात,रात
दोपहर,दोपहर
सांस,सांस 
ससुर ,ससुर 
दांत,दांत
भांड,डांट
गोर,गोरा
काल,काला
टोपी,टोपी
चप्पल,चप्पल
दवाली,दिवाली
एक,एक
दो,दो
तीन,तीन
चार,चार
पांच,पांच
छोह,छह
सात,सात
आठ,आठ
नौ,नौ
दस,दस
गाड़ी,गाड़ी
माटी,मर्द
घर,घर
आँगळी,ऊँगली
नक्क,नाखून
जीब,ज़बान
आँकी,आँख
चूलो,खाना
सोवार,कल
परमेदाड,परसो
दवाळी,दिवाली
मेटकल,सीड़िया
खेतर,खेत
उन्दर,चूहा
चालकोड़ी,गोरय्या
अंगार,आग
गीदे,गीत
तांडो,गांव
सांझ, शाम 
लत्ता,कपड़े 
मामा,मामा 
मामी ,मामी 
फूफा ,फूफा 
साली,साली
गिन्नी ,बीवी
धनी,पति
जेठ,जेठ 
ननद,ननद
नाती ,नाती 
पोत ,पोत 
लख,लिख 
रोयरो ,रोना
पड,गिर 
पकड़,पकड़ 
गमायेरो,खोना 
गण ,गिनना 
मोटा ,बड़ा 
नानकी ,छोटा 
मोटी,मोटी 
चोड ,चौड़ा 
साफ,सफाई 
गर्मा ,गरम
लार ,साथ
माय ,अंदर 
इत्ता ,इधर 
उत्त ,उधर 
कन्ना,कब 
ओर ,उसका 
एर ,इसका 
अजी ,और 
या,या
लांब,लंबा
कतरा ,कितना
फीक ,फीक 
नावों,नया
नीला,नीला
सुंदर,सुंदर
जब,जब
वो ,वह
कोई,कोई 
निधान ,धीरे
तड़कों,धूप
तारा,तारा 
घास,घास
कुर्सी,कुर्सी 
प्लेट,प्लेट 
कप,कप 
हासेरो,हंसना
गायेरो ,गाना 
गद्दा ,गधा 
सूअर,सूअर
हाथी ,हाथी
ककड़ी,ककड़ी 
पालक,पालक
भिंडी,भिंडी 
जामुन,जामुन 
बेसन,बेसन 
चिंता ,चिंता
धूड,मिट्टी 
पीठ,पीठ 
गाल,गाल 
रातड़ो,लाल
दख,दर्द
परदा,परदा
हांडी,हांडी
देवर,देवर 
होली,होली
बकरीद,बकरीद 
क्रिसमस ,क्रिसमस 
रक्षाबंधन,रक्षाबंधन
मकर संक्रांति,मकर संक्रांति
रमज़ान,रमज़ान 
तवा,तवा 
